,UNIVERSIDAD,CARRERA,TITULO,RESUMEN,AUTOR(ES),AÑO,PDF
500,autonoma,psicología,Funcionamiento familiar e ideación suicida en estudiantes de tres instituciones educativas estatales de Villa El Salvador,La presente investigación tuvo como objetivo determinar la relación entre el funcionamiento familiar e ideación suicida en estudiantes de secundaria de tres instituciones educativas estatales de Villa El Salvador. Este ...,"Huamani Munaylla, Stefany",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1161/Huamani%20Munaylla%2c%20Stefany.pdf
501,autonoma,psicología,Asertividad sexual y ansiedad en estudiantes de una universidad privada del distrito de Villa El Salvador en Lima Sur,"332 educandos universitarios, masculinos y femeninos, de la carrera profesional de Psicología de una universidad privada del distrito de Villa El Salvador fueron encuestados bajo un muestreo no probabilístico con la intención ...","Diaz Ignacio, Paul Richard",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1159/Diaz%20Ignacio%2c%20Paul%20Richard.pdf
502,autonoma,psicología,Propiedades psicométricas del autotest Cisneros de acoso escolar en estudiantes de secundaria de dos distritos Lima Sur,"Se establecieron las propiedades psicométricas del Autotest Cisneros de Acoso Escolar, en una muestra de 748 estudiantes de secundaria en dos instituciones de Lima Sur. Los resultados indican que la prueba tiene apropiadas ...","Santiago Renteria, Maria Leyssy",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1160/Santiago%20Renteria%2c%20Maria%20Leyssy.pdf
503,autonoma,psicología,Dependencia emocional y estilos de afrontamiento en adolescentes de secundaria de una institución educativa de Lurín,Se determinó la relación estadísticamente significativa entre la dependencia emocional y las estrategias de afrontamiento en estudiantes de secundaria de una institución educativa de Lurín. Se empleó un método de tipo ...,"Manco Zevallos, Sheyla",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1349/Manco%20Zevallos%2c%20Sheyla.pdf
504,autonoma,psicología,Estilos de crianza y dependencia emocional en estudiantes de secundaria de dos instituciones educativas de San Juan de Miraflores,El propósito del presente estudio fue identificar el vínculo existente entre los estilos de crianza y la dependencia emocional en estudiantes de dos instituciones educativas. El tipo de investigación fue no experimental ...,"Hernández Valencia, Cristina Del Rosario",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1368/Hernandez%20Valencia%2c%20Cristina%20del%20Rosario.pdf
505,autonoma,psicología,Estilos de socialización parental y acoso escolar en estudiantes de educación secundaria de un colegio público de Villa El Salvador,"Se determinó la relación entre estilos de socialización parental y acoso escolar, en una muestra de alumnos de nivel secundaria de un colegio público de Villa El Salvador. La muestra fue de 337 alumnos de 2do, 3ro, 4to y ...","Sánchez Chávez, Emily Raquel",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1393/Sanchez%20Chavez%2c%20Emily%20Raquel.pdf
506,autonoma,psicología,Conducta emocional inadaptada y estilos de afrontamiento en adolescentes de dos instituciones educativas de Lima Sur,Este estudio tuvo como objetivo principal determinar la relación entre conducta emocional inadaptada y estilos de afrontamiento en adolescentes de dos instituciones educativas de Lima Sur. Esta investigación fue de tipo ...,"Rua Cruz, Natali Nila",2020,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1032/Rua%20Cruz%2c%20Natali%20Nila.pdf
507,autonoma,psicología,"Propiedades psicométricas del cuestionario de violencia en el enamoramiento adolescente (CUVINO) en instituciones educativas de Villa El Salvador, 2018","El Cuestionario de Violencia entre Novios (CUVINO) es un instrumento de utilidad para la detección de violencia en parejas adolescentes y jóvenes, en este estudio se plantea como objetivo obtener las propiedades psicométricas ...","Galindo Suarez, Zoila",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1329/Galindo%20Suarez%2c%20Zoila.pdf
508,autonoma,psicología,Satisfacción laboral y procrastinación en trabajadores administrativos de una empresa de servicios ubicada en Lima,"Se estableció la relación que existe entre la procrastinación y la satisfacción laboral. La muestra estuvo conformada por 100 trabajadores administrativos de una empresa de servicios ubicada en Lima, edades entre 18 y 64 ...","Marroquín Espinoza, Laura Graciela",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1392/Marroquin%20Espinoza%2c%20Laura%20Graciela.pdf
509,autonoma,psicología,"La resiliencia y el acoso escolar en estudiantes de nivel secundario de una institución educativa particular del distrito de Villa El Salvador, 2019",La presente investigación tuvo como objetivo determinar la relación entre la variable resiliencia y acoso escolar en estudiantes del nivel secundario de una Institución Educativa del distrito de Villa El Salvador. La ...,"Zavala Ortega, Camila Patricia",2021,https://repositorio.autonoma.edu.pe/bitstream/handle/20.500.13067/1456/Zavala%20Ortega%2c%20Camila%20Patricia.pdf
